Пропуск,Слово,Семантическое поле ,Количество,агрегация ,
32,центурион,человек,1,,
33,шее,часть тела,7,,
33,крупу,часть тела животного,12,,
33,бокам,часть тела,8,,
33,боку,часть тела,6,,
33,спине,часть тела,2,,
33,ней,часть тела,2,,
33,хребту,часть тела животного,1,,
33,ногам,часть тела,1,,
33,бочине,часть тела,1,,
33,загривку,часть тела животного,1,,
33,ягодице,часть тела,1,,
33,бедрам,часть тела,1,,
33,вихрам,часть тела животного,1,,
34,полетели,глаголы движения ,6,,
34,скакали,глаголы движения ,11,,
34,поскакали,глаголы движения ,4,,
34,неслись,глаголы движения ,3,,
34,проскакали,глаголы движения ,2,,
34,поехали,глаголы движения ,2,,
34,погнались,глаголы движения ,2,,
34,последовали,глаголы движения ,2,,
34,помчались,глаголы движения ,2,,
34,стояли,глаголы состояния,1,,
34,встали,глаголы окончания движения,1,,
34,промчались,глаголы движения ,1,,
34,проследовали,глаголы движения ,1,,
34,ехали,глаголы движения ,1,,
34,верные,характер,1,,
34,темные,цвет,1,,
34,выстроились,глаголы движения ,1,,
34,шли,глаголы движения ,1,,
34,мчали,глаголы движения ,1,,
35,туче,газообразное,6,,
35,клубах,газообразное,9,,
35,густой,внешняя характеристика,5,,
35,серой,цвет,4,,
35,дорожной,место в пространстве,3,,
35,облаке,газообразное,3,,
35,городской,место в пространстве,3,,
35,облаках,газообразное,2,,
35,грязных от,внешняя характеристика,1,,
35,шлемах,одежда,1,,
35,мокрой,внешняя характеристика,1,,
35,сильной,внешняя характеристика,1,,
35,толпе,наименование групп лиц,1,,
35,лес,место в пространстве,1,,
35,непроглядной,внешняя характеристика,1,,
35,мантиях,одежда,1,,
36,пик,оружие,7,,
36,копий,оружие,8,,
36,палок,растение,3,,
36,прутьев,растение,2,,
36,стрел,оружие,2,,
36,тростей,одежда,2,,
36,шапок,одежда,2,,
36,палочек,растение,1,,
36,заборов,место в пространстве,1,,
36,шлемов,одежда,1,,
36,лампасов,одежда,1,,
36,ботинок,одежда,1,,
36,крыш,место в пространстве,1,,
36,стремян,одежда,1,,
36,стеблей,растение,1,,
36,одеждах,одежда,1,,
36,попон,одежда,1,,
36,стволов,растение,1,,
36,деревьев,растение,1,,
36,тростинок,растение,1,,
36,сабель,оружие,1,,
36,листьев,растение,1,,
36,палках,растение,1,,
37,весело,эмоциональное состояние ,5,,
37,белыми,цвет,3,,
37,злобно,эмоциональное состояние ,2,,
37,улыбками,выражение лица,2,,
37,редкими,,1,,
37,открытыми ртами,выражение лица,1,,
37,жутко,эмоциональное состояние ,1,,
37,блестящими,внешняя характеристика объекта,1,,
37,яростно,эмоциональное состояние ,1,,
37,кровожадно,эмоциональное состояние ,1,,
37,яро,эмоциональное состояние ,1,,
37,жестоко,эмоциональное состояние ,1,,
37,заметно,степень выражения,1,,
37,веселло,эмоциональное состояние ,1,,
37,сверкающими,внешняя характеристика объекта,1,,
37,шрамами,особенности внешности,1,,
37,морщинами,особенности внешности,1,,
37,страшно,эмоциональное состояние ,1,,
37,ехидно,эмоциональное состояние ,1,,
37,белыми ,цвет,1,,
37,дико,эмоциональное состояние ,1,,
37,гневно,эмоциональное состояние ,1,,
37,большими,внешняя характеристика объекта,1,,
37,красивыми,внешняя характеристика объекта,1,,
37,злым,эмоциональное состояние ,1,,
37,широко,внешняя характеристика объекта,1,,
37,улабками,выражение лица,1,,
37,сильно,степень выражения,1,,
37,зловеще,эмоциональное состояние ,1,,
37,улибками,выражение лица,1,,
38,сверкающими,внешняя характеристика объекта,8,,
38,белыми,цвет,9,,
38,желтыми,цвет,7,,
38,ровными ,внешняя характеристика объекта,2,,
38,гнилыми,состояние объекта,1,,
38,белоснежными,цвет,1,,
38,угрожающими,прилагательное оценки,1,,
38,кривыми ,внешняя характеристика объекта,1,,
38,неровными,внешняя характеристика объекта,1,,
38,оголенными,внешняя характеристика объекта,1,,
38,уже пожелтевшими,цвет,1,,
38,сомкнутыми,состояние объекта,1,,
38,клыками и,часть тела,1,,
38,золотыми,цвет,1,,
38,острыми,состояние объекта,1,,
38,ьелыми,цвет,1,,
38,некрасивыми,прилагательное оценки,1,,
39,солдат,военный,6,,
39,всадник,военный,13,,
39,знаменосец,военный,3,,
39,сириец,человек,3,,
39,замыкающий,человек,1,,
39,стражник,военный,1,,
39,кавалериец,военный,1,,
39,запаздавший,человек,1,,проблема при разметке субстантивация
39,командир,военный,1,,
39,вдоль них,направление,1,,
39,прямо,направление,1,,
39,воин,военный,1,,
39,он,человек,1,,
39,дальше в лес,направление,1,,
39,последний,человек,1,,
39,араб,человек,1,,
39,последним,человек,1,,
40,трубою,музыкальный инструмент,5,,
40,саблей,оружие,5,,
40,мантией,одежда,2,,
40,щитом,оружие,2,,
40,эмблемой,"особенность предмета, элемент предмета",2,,
40,татуировкой,особенности внешности,1,,
40,медной трубой,музыкльный инструмент,1,,
40,кольчугой,одежда,1,,
40,трубой,музыкальный инструмент,1,,
40,трубкой,предмет ,1,,
40,аурой,сверхъестественное,1,,
40,ножной,оружие,1,,
40,фалькатой,оружие,1,,
40,стороной,часть предмета,1,,
40,секирой,оружие,1,,
40,аттрибутикой,"особенность предмета, элемент предмета",1,,
40,бляхой,"особенность предмета, элемент предмета",1,,
40,фляжкой,"особенность предмета, элемент предмета",1,,
40,обжигающим солнцем,внешняя характеристика предмета,1,,
41,морща,глаголы физиологического действия,23,,
41,хмуря,глаголы физиологического действия,5,,
41,прикрывая,глаголы воздействия на объект,4,,
41,кривя,глаголы физиологического действия,2,,
41,морщя,глаголы физиологического действия,1,,
41,защищая,глаголы воздействия на объект,1,,
41,лицо,часть тела,1,,
41,морщась,глаголы физиологического действия,1,,
41,скривив,глаголы физиологического действия,1,,
41,поморщив,глаголы физиологического действия,1,,
41,хмур ,глаголы физиологического действия,1,,
41,сморщив,глаголы физиологического действия,1,,
41,взглянув,глаголы созерцания,1,,
41,отворачивая,глаголы физиологического действия,1,,
41,опуская,глаголы физиологического действия,1,,
42,двинулся,глаголы однонаправленного движения,11,,
42,пошел,глаголы однонаправленного движения,13,,
42,поехал,глаголы однонаправленного движения,4,,
42,шел,глаголы движения,3,,
42,направился,глаголы однонаправленного движения,3,,
42,поскакал,глаголы однонаправленного движения,3,,
42,скакал ,глаголы движения,2,,
42,потопал,глаголы однонаправленного движения,1,,
42,отправился,глаголы однонаправленного движения,1,,
42,продвигался,глаголы однонаправленного движения,1,,
42,ускорил,глаголы движения,1,,
