1
Слово;Тип;Тип;Тип;Итог;Пропуск;Верно
вдруг;local;dep;local;Local;32;0
и;local;local;none;Local;32;0
центурион;global;global;local;global;32;0
крупу;local;local;local;Local;33;0
бокам;local;local;local;Local;33;0
шее;local;local;local;Local;33;1
боку;local;local;local;Local;33;0
спине;local;local;local;Local;33;0
ней;local;local;local;Local;33;0
хребту;local;local;local;Local;33;0
ногам;local;local;local;Local;33;0
бочине;local;local;local;Local;33;0
загривку;local;local;local;Local;33;0
ягодице;local;local;local;Local;33;0
бедрам;local;local;local;Local;33;0
вихрам;local;local;local;Local;33;0
скакали;local;local;local;Local;34;0
полетели;local;local;global;Local;34;1
поскакали;local;local;global;Local;34;0
неслись;local;local;global;Local;34;0
проскакали;local;local;local;Local;34;0
поехали;local;local;local;Local;34;0
погнались;local;local;local;Local;34;0
последовали;local;local;local;Local;34;0
помчались;local;local;local;Local;34;0
стояли;local;dep;local;Local;34;0
встали;local;dep;local;Local;34;0
промчались;local;local;global;Local;34;0
проследовали;local;local;local;Local;34;0
ехали;local;local;local;Local;34;0
верные;local;dep;local;Local;34;0
темные;local;dep;local;Local;34;0
выстроились;local;local;local;Local;34;0
шли;local;dep;local;Local;34;0
мчались;local;local;global;Local;34;0
клубах;local;local;local;Local;35;0
туче;local;local;local;Local;35;1
густой;local;local;local;Local;35;0
серой;local;local;local;Local;35;0
дорожной;local;local;local;Local;35;0
облаке;local;local;local;Local;35;0
городской;global;local;local;Local;35;0
облаках;local;local;local;Local;35;0
от;local;dep;local;Local;35;0
шлемах;local;dep;local;Local;35;0
мокрой;local;dep;local;Local;35;0
сильной;local;dep;local;Local;35;0
толпе;global;dep;global;Global;35;0
лес;local;dep;local;Local;35;0
непроглядной;local;dep;local;Local;35;0
мантиях;local;dep;local;Local;35;0
копий;local;global;global;global;36;0
пик;local;global;global;global;36;1
палок;local;local;local;Local;36;0
прутьев;local;local;local;Local;36;0
стрел;local;local;local;Local;36;0
тростей;local;local;local;Local;36;0
шапок;local;dep;local;Local;36;0
палочек;local;local;local;Local;36;0
заборов;local;dep;local;Local;36;0
шлемов;local;dep;global;global;36;0
лампасов;local;dep;global;Dep;36;0
ботинок;local;dep;local;Local;36;0
крыш;local;dep;local;Local;36;0
стремян;local;dep;global;global;36;0
стеблей;local;local;local;Local;36;0
одеждах;local;dep;local;Local;36;0
попон;local;dep;global;global;36;0
стволов;local;dep;local;Local;36;0
деревьев;local;dep;local;Local;36;0
тростинок;local;local;local;Local;36;0
сабель;local;dep;global;Dep;36;0
листьев;local;dep;local;Local;36;0
палках;local;dep;local;Local;36;0
весело;local;local;global;Local;37;1
белыми;local;local;local;Local;37;0
злобно;local;local;local;Local;37;0
улыбками;local;local;local;Local;37;0
